Text,IsQuestion,
or Often,0,
,0,
TRUE,0,
,0,
21. I worry about things working out for me o o o,1,
,0,
"22. When I get frightened, I sweat a lot o o o",1,
,0,
23. I am a worrier o o o,1,
,0,
24. I get really frightened for no reason at all o o o,1,
,0,
25. I am afraid to be alone in the house o o o,1,
,0,
26. It is hard for me to talk with people I don’t know well o o o,1,
,0,
"27. When I get frightened, I feel like I am choking o o o",1,
,0,
28. People tell me that I worry too much o o o,1,
,0,
29. I don’t like to be away from my family o o o,1,
,0,
30. I am afraid of having anxiety (or panic) attacks o o o,1,
,0,
31. I worry that something bad might happen to my parents o o o,1,
,0,
32. I feel shy with people I don’t know well o o o,1,
,0,
33. I worry about what is going to happen in the future o o o,1,
,0,
"34. When I get frightened, I feel like throwing up o o o",1,
,0,
35. I worry about how well I do things o o o,1,
,0,
36. I am scared to go to school o o o,1,
,0,
37. I worry about things that have already happened o o o,1,
,0,
"38. When I get frightened, I feel dizzy o o o",1,
,0,
39,0,
I feel nervous when I am with other children or adults and I have,1,question splitted in three lines
"to do something while they watch me (for example: read aloud,",1,question splitted in three lines
"speak, play a game, play a sport)",1,question splitted in three lines
,0,
o o o,0,
,0,
40,0,
"I feel nervous when I am going to parties, dances, or any place",1,question splitted in two lines
where there will be people that I don’t know well,1,question splitted in two lines
,0,
o o o,0,
,0,
41. I am shy o o o,1,
,0,
"Developed by Boris Birmaher, MD, Suneeta Khetarpal, MD, Marlane Cully, MEd, David Brent, MD, and Sandra",0,
"McKenzie, PhD.  Western Psychiatric Institute and Clinic, University of Pgh. (10/95). Email: birmaherb@msx.upmc.edu",0,
,0,
Screen for Child Anxiety Related Disorders (SCARED),0,
Child Version - Page 2 of 2 (To be filled out by the CHILD),0,
,0,
,0,
,0,
43,0,
,0,
Screen for Child Anxiety Related Disorders (SCARED),0,
,0,
Parent Version - Page 1 of 2 (To be filled out by the PARENT),0,
,0,
Name: ______________________ Date: __________________________,0,
,0,
Directions:,0,
Below is a list of statements that describe how people feel. Read each statement carefully and,0,
decide if it is “Not True or Hardly Ever True” or “Somewhat True or Sometimes True” or “Very,0,
"True or Often True” for your child.  Then for each statement, fill in one circle that corresponds",0,
to the response that seems to describe your child for the last 3 months.  Please respond to all,0,
"statements as well as you can, even if some do not seem to concern your child.",0,
,0,
0,0,
Not True,0,
or Hardly,0,
Ever True,0,
,0,
1,0,
Somewhat,0,
,0,
True or,0,
Sometimes,0,
,0,
TRUE,0,
,0,
2,0,
Very True,0,
or Often,0,
,0,
TRUE,0,
,0,
"1. When my child feels frightened, it is hard for him/her to breathe o o o",1,
,0,
2. My child gets headaches when he/she is at school o o o,1,
,0,
3. My child doesn’t like to be with people he/she doesn’t know well o o o,1,
,0,
4. My child gets scared if he/she sleeps away from home o o o,1,
,0,
5. My child worries about other people liking him/her o o o,1,
,0,
"6. When my child gets frightened, he/she feels like passing out o o o",1,
,0,
7. My child is nervous o o o,1,
,0,
8. My child follows me wherever I go o o o,1,
,0,
9. People tell me that my child looks nervous o o o,1,
,0,
10. My child feels nervous with people he/she doesn’t know well o o o,1,
,0,
11. My child gets stomachaches at school o o o,1,
,0,
12,0,
"When my child gets frightened, he/she feels like he/she is going",1,question splittedf in two lines
crazy,1,question splitted in two lines
,0,
o o o,0,
,0,
13. My child worries about sleeping alone o o o,1,
,0,
14. My child worries about being as good as other kids o o o,1,
,0,
"15. When he/she gets frightened, he/she feels like things are not real o o o",1,
,0,
16,0,
My child has nightmares about something bad happening to his/her,1,question splitted in two lines
parents,1,question splitted in two lines
,0,
o o o,0,
,0,
17. My child worries about going to school o o o,1,
,0,
"18. When my child gets frightened, his/her heart beats fast o o o",1,
,0,
19. He/she gets shaky o o o,1,
,0,
20. My child has nightmares about something bad happening to him/her o o o,1,
,0,
,0,
,0,
44,0,
,0,
Screen for Child Anxiety Related Disorders (SCARED),0,
Parent Version - Page 2 of 2 (To be filled out by the PARENT),0,
,0,
0,0,
Not True,0,
or Hardly,0,
Ever True,0,
,0,
1,0,
Somewhat,0,
,0,
True or,0,
Sometimes,0,
,0,
TRUE,0,
,0,
2,0,
Very True,0,
or Often,0,
,0,
TRUE,0,
,0,
21. My child worries about things working out for him/her o o o,1,
,0,
"22. When my child gets frightened, he/she sweats a lot o o o",1,
,0,
23. My child is a worrier o o o,1,
,0,
24. My child gets really frightened for no reason at all o o o,1,
,0,
25. My child is afraid to be alone in the house o o o,1,
,0,
26. It is hard for my child to talk with people he/she doesn’t know well o o o,1,
,0,
"27. When my child gets frightened, he/she feels like he/she is choking o o o",1,
,0,
28. People tell me that my child worries too much o o o,1,
,0,
29. My child doesn’t like to be away from his/her family o o o,1,
,0,
30. My child is afraid of having anxiety (or panic) attacks o o o,1,
,0,
31,0,
My child worries that something bad might happen to his/her,1,question splitted in two lines
parents,1,question splitted in two lines
,0,
o o o,0,
,0,
32. My child feels shy with people he/she doesn’t know well o o o,1,
,0,
33. My child worries about what is going to happen in the future o o o,1,
,0,
"34. When my child gets frightened, he/she feels like throwing up o o o",1,
,0,
35. My child worries about how well he/she does things o o o,1,
,0,
36. My child is scared to go to school o o o,1,
,0,
37. My child worries about things that have already happened o o o,1,
,0,
"38. When my child gets frightened, he/she feels dizzy o o o",1,
,0,
39,0,
My child feels nervous when he/she is with other children or adults,1,question splitted in three lines
and he/she has to do something while they watch him/her (for,1,question splitted in three lines
"example: read aloud, speak, play a game, play a sport)",1,question splitted in three lines
,0,
o o o,0,
,0,
40,0,
"My child feels nervous when he/she is going to parties, dances, or",1,question splitted in two lines
any place where there will be people that he/she doesn’t know well,1,question splitted in two lines
,0,
o o o,0,
,0,
41. My child is shy o o o,1,
,0,
"Developed by Boris Birmaher, MD, Suneeta Khetarpal, MD, Marlane Cully, MEd, David Brent, MD, and Sandra McKenzie,",0,
"PhD.  Western Psychiatric Institute and Clinic, University of Pgh. (10/95). Email: birmaherb@msx.upmc.edu",0,
,0,
,0,
,0,
45,0,
,0,
Q,0,
u,0,
,0,
estio,0,
n,0,
,0,
P,0,
an,0,
,0,
ic/,0,
S,0,
,0,
o,0,
m,0,
,0,
atic,0,
,0,
G,0,
en,0,
,0,
eralized,0,
,0,
,0,
A,0,
n,0,
,0,
xiety,0,
,0,
S,0,
ep,0,
,0,
aratio,0,
n,0,
,0,
S,0,
o,0,
,0,
cial,0,
,0,
S,0,
ch,0,
,0,
o,0,
o,0,
,0,
l,0,
A,0,
,0,
vo,0,
id,0,
,0,
an,0,
ce,0,
,0,
1,0,
,0,
2,0,
,0,
3,0,
,0,
4,0,
,0,
5,0,
,0,
6,0,
,0,
7,0,
,0,
8,0,
,0,
9,0,
,0,
10,0,
,0,
11,0,
,0,
12,0,
,0,
13,0,
,0,
14,0,
,0,
15,0,
,0,
16,0,
,0,
17,0,
,0,
18,0,
,0,
19,0,
,0,
20,0,
,0,
21,0,
,0,
22,0,
,0,
23,0,
,0,
24,0,
,0,
25,0,
,0,
26,0,
,0,
27,0,
,0,
28,0,
,0,
29,0,
,0,
30,0,
,0,
31,0,
,0,
32,0,
,0,
33,0,
,0,
34,0,
,0,
35,0,
,0,
36,0,
,0,
37,0,
,0,
38,0,
,0,
39,0,
,0,
40,0,
,0,
41,0,
,0,
Cutoff,0,
7,0,
,0,
Cutoff,0,
9,0,
,0,
Cutoff,0,
5,0,
,0,
Cutoff,0,
8,0,
,0,
Cutoff,0,
3,0,
,0,
Total,0,
,0,
Total anxiety ≥ 25,0,
,0,
SCARED Rating Scale Scoring Aide,0,
Use with Parent and Child Versions,0,
,0,
0 = not true or hardly true,0,
1 = somewhat true or sometimes true,0,
2 = very true or often true,0,
,0,
SCORING,0,
,0,
A total score of ≥ 25 may indicate the presence of an,0,
Anxiety Disorder.  Scores higher than 30 are more,0,
specific.,0,
,0,
"A score of 7 for items 1, 6, 9, 12, 15, 18, 19, 22, 24, 27,",0,
"30, 34, 38 may indicate Panic Disorder or Significant",0,
Somatic Symptoms.,0,
,0,
"A score of 9 for items 5, 7, 14, 21, 23, 28, 33, 35, 37 may",0,
indicate Generalized Anxiety Disorder.,0,
,0,
"A score of 5 for items 4, 8, 13, 16, 20, 25, 29, 31 may",0,
indicate Separation Anxiety Disorder.,0,
,0,
"A score of 8 for items 3, 10, 26, 32, 39, 40, 41 may",0,
indicate Social Anxiety Disorder.,0,
,0,
"A score of 3 for items 2, 11, 17, 36 may indicate",0,
Significant School Avoidance.,0,
